Clock cycle: 20, Requests in queue: 0, Servers: 10
Clock cycle: 107, Requests in queue: 7, Servers: 10
Clock cycle: 108, Requests in queue: 7, Servers: 10
Clock cycle: 109, Requests in queue: 7, Servers: 10
Clock cycle: 110, Requests in queue: 7, Servers: 10
Clock cycle: 111, Requests in queue: 7, Servers: 10
Clock cycle: 112, Requests in queue: 7, Servers: 10
Clock cycle: 113, Requests in queue: 7, Servers: 10
Clock cycle: 114, Requests in queue: 7, Servers: 10
Clock cycle: 115, Requests in queue: 7, Servers: 10
Clock cycle: 116, Requests in queue: 7, Servers: 10
Clock cycle: 117, Requests in queue: 7, Servers: 10
Clock cycle: 118, Requests in queue: 7, Servers: 10
Clock cycle: 119, Requests in queue: 7, Servers: 10
Clock cycle: 120, Requests in queue: 7, Servers: 10
Clock cycle: 121, Requests in queue: 7, Servers: 10
Clock cycle: 123, Requests in queue: 8, Servers: 10
Clock cycle: 124, Requests in queue: 8, Servers: 10
Clock cycle: 125, Requests in queue: 8, Servers: 10
Clock cycle: 126, Requests in queue: 8, Servers: 10
Clock cycle: 127, Requests in queue: 8, Servers: 10
Clock cycle: 128, Requests in queue: 8, Servers: 10
Clock cycle: 129, Requests in queue: 8, Servers: 10
Clock cycle: 130, Requests in queue: 8, Servers: 10
Clock cycle: 131, Requests in queue: 8, Servers: 10
Clock cycle: 132, Requests in queue: 8, Servers: 10
Clock cycle: 133, Requests in queue: 8, Servers: 10
Clock cycle: 135, Requests in queue: 9, Servers: 10
Clock cycle: 137, Requests in queue: 10, Servers: 10
Clock cycle: 138, Requests in queue: 10, Servers: 10
Clock cycle: 139, Requests in queue: 10, Servers: 10
Clock cycle: 140, Requests in queue: 10, Servers: 10
Clock cycle: 141, Requests in queue: 10, Servers: 10
Clock cycle: 142, Requests in queue: 10, Servers: 10
Clock cycle: 143, Requests in queue: 10, Servers: 10
Clock cycle: 144, Requests in queue: 10, Servers: 10
Clock cycle: 145, Requests in queue: 10, Servers: 10
Clock cycle: 146, Requests in queue: 10, Servers: 10
Clock cycle: 148, Requests in queue: 9, Servers: 10
Clock cycle: 149, Requests in queue: 9, Servers: 10
Clock cycle: 150, Requests in queue: 9, Servers: 10
Clock cycle: 151, Requests in queue: 9, Servers: 10
Clock cycle: 152, Requests in queue: 9, Servers: 10
Clock cycle: 153, Requests in queue: 9, Servers: 10
Clock cycle: 154, Requests in queue: 9, Servers: 10
Clock cycle: 155, Requests in queue: 9, Servers: 10
Clock cycle: 156, Requests in queue: 9, Servers: 10
Clock cycle: 157, Requests in queue: 9, Servers: 10
Clock cycle: 158, Requests in queue: 9, Servers: 10
Clock cycle: 160, Requests in queue: 10, Servers: 10
Clock cycle: 161, Requests in queue: 10, Servers: 10
Clock cycle: 162, Requests in queue: 10, Servers: 10
Clock cycle: 163, Requests in queue: 10, Servers: 10
Clock cycle: 164, Requests in queue: 10, Servers: 10
Clock cycle: 165, Requests in queue: 10, Servers: 10
Clock cycle: 166, Requests in queue: 10, Servers: 10
Clock cycle: 167, Requests in queue: 10, Servers: 10
Clock cycle: 168, Requests in queue: 10, Servers: 10
Clock cycle: 169, Requests in queue: 10, Servers: 10
Clock cycle: 170, Requests in queue: 10, Servers: 10
Clock cycle: 172, Requests in queue: 11, Servers: 10
Clock cycle: 173, Requests in queue: 11, Servers: 10
Clock cycle: 174, Requests in queue: 11, Servers: 10
Clock cycle: 175, Requests in queue: 11, Servers: 10
Clock cycle: 176, Requests in queue: 11, Servers: 10
Clock cycle: 177, Requests in queue: 11, Servers: 10
Clock cycle: 178, Requests in queue: 11, Servers: 10
Clock cycle: 179, Requests in queue: 11, Servers: 10
Clock cycle: 180, Requests in queue: 11, Servers: 10
Clock cycle: 181, Requests in queue: 11, Servers: 10
Clock cycle: 182, Requests in queue: 11, Servers: 10
Clock cycle: 183, Requests in queue: 11, Servers: 10
Clock cycle: 184, Requests in queue: 11, Servers: 10
Clock cycle: 186, Requests in queue: 12, Servers: 10
Clock cycle: 187, Requests in queue: 12, Servers: 10
Clock cycle: 188, Requests in queue: 12, Servers: 10
Clock cycle: 189, Requests in queue: 12, Servers: 10
Clock cycle: 190, Requests in queue: 12, Servers: 10
Clock cycle: 191, Requests in queue: 12, Servers: 10
Clock cycle: 193, Requests in queue: 13, Servers: 10
Clock cycle: 194, Requests in queue: 13, Servers: 10
Clock cycle: 195, Requests in queue: 13, Servers: 10
Clock cycle: 196, Requests in queue: 13, Servers: 10
Clock cycle: 197, Requests in queue: 13, Servers: 10
Clock cycle: 198, Requests in queue: 13, Servers: 10
Clock cycle: 199, Requests in queue: 13, Servers: 10
Clock cycle: 201, Requests in queue: 14, Servers: 10
Clock cycle: 202, Requests in queue: 14, Servers: 10
Clock cycle: 203, Requests in queue: 14, Servers: 10
Clock cycle: 204, Requests in queue: 14, Servers: 10
Clock cycle: 205, Requests in queue: 14, Servers: 10
Clock cycle: 206, Requests in queue: 14, Servers: 10
Clock cycle: 207, Requests in queue: 14, Servers: 10
Clock cycle: 208, Requests in queue: 14, Servers: 10
Clock cycle: 209, Requests in queue: 14, Servers: 10
Clock cycle: 210, Requests in queue: 14, Servers: 10
Clock cycle: 211, Requests in queue: 14, Servers: 10
Clock cycle: 212, Requests in queue: 14, Servers: 10
Clock cycle: 214, Requests in queue: 15, Servers: 10
Clock cycle: 215, Requests in queue: 15, Servers: 10
Clock cycle: 217, Requests in queue: 16, Servers: 10
Clock cycle: 218, Requests in queue: 16, Servers: 10
Clock cycle: 219, Requests in queue: 16, Servers: 10
Clock cycle: 220, Requests in queue: 16, Servers: 10
Clock cycle: 221, Requests in queue: 16, Servers: 10
Clock cycle: 222, Requests in queue: 16, Servers: 10
Clock cycle: 223, Requests in queue: 16, Servers: 10
Clock cycle: 224, Requests in queue: 16, Servers: 10
Clock cycle: 225, Requests in queue: 16, Servers: 10
Clock cycle: 226, Requests in queue: 16, Servers: 10
Clock cycle: 227, Requests in queue: 16, Servers: 10
Clock cycle: 228, Requests in queue: 16, Servers: 10
Clock cycle: 230, Requests in queue: 17, Servers: 10
Clock cycle: 231, Requests in queue: 17, Servers: 10
Clock cycle: 233, Requests in queue: 16, Servers: 10
Clock cycle: 234, Requests in queue: 16, Servers: 10
Clock cycle: 235, Requests in queue: 16, Servers: 10
Clock cycle: 236, Requests in queue: 16, Servers: 10
Clock cycle: 237, Requests in queue: 16, Servers: 10
Clock cycle: 238, Requests in queue: 16, Servers: 10
Clock cycle: 239, Requests in queue: 16, Servers: 10
Clock cycle: 240, Requests in queue: 16, Servers: 10
Clock cycle: 242, Requests in queue: 17, Servers: 10
Clock cycle: 244, Requests in queue: 16, Servers: 10
Clock cycle: 245, Requests in queue: 16, Servers: 10
Clock cycle: 247, Requests in queue: 17, Servers: 10
Clock cycle: 248, Requests in queue: 17, Servers: 10
Clock cycle: 250, Requests in queue: 18, Servers: 10
Clock cycle: 252, Requests in queue: 19, Servers: 10
Clock cycle: 253, Requests in queue: 19, Servers: 10
Clock cycle: 254, Requests in queue: 19, Servers: 10
Clock cycle: 255, Requests in queue: 19, Servers: 10
Clock cycle: 256, Requests in queue: 19, Servers: 10
Clock cycle: 257, Requests in queue: 19, Servers: 10
Clock cycle: 258, Requests in queue: 19, Servers: 10
Clock cycle: 259, Requests in queue: 19, Servers: 10
Clock cycle: 260, Requests in queue: 19, Servers: 10
Clock cycle: 261, Requests in queue: 19, Servers: 10
Clock cycle: 262, Requests in queue: 19, Servers: 10
Clock cycle: 263, Requests in queue: 19, Servers: 10
Clock cycle: 264, Requests in queue: 19, Servers: 10
Clock cycle: 265, Requests in queue: 19, Servers: 10
Clock cycle: 266, Requests in queue: 19, Servers: 10
Clock cycle: 267, Requests in queue: 19, Servers: 10
Clock cycle: 268, Requests in queue: 19, Servers: 10
Clock cycle: 270, Requests in queue: 20, Servers: 10
Clock cycle: 272, Requests in queue: 21, Servers: 10
Clock cycle: 273, Requests in queue: 21, Servers: 10
Clock cycle: 274, Requests in queue: 21, Servers: 10
Clock cycle: 275, Requests in queue: 21, Servers: 10
Clock cycle: 277, Requests in queue: 22, Servers: 10
Clock cycle: 278, Requests in queue: 22, Servers: 10
Clock cycle: 280, Requests in queue: 23, Servers: 10
Clock cycle: 281, Requests in queue: 23, Servers: 10
Clock cycle: 282, Requests in queue: 23, Servers: 10
Clock cycle: 283, Requests in queue: 23, Servers: 10
Clock cycle: 284, Requests in queue: 23, Servers: 10
Clock cycle: 285, Requests in queue: 23, Servers: 10
Clock cycle: 286, Requests in queue: 23, Servers: 10
Clock cycle: 287, Requests in queue: 23, Servers: 10
Clock cycle: 288, Requests in queue: 23, Servers: 10
Clock cycle: 289, Requests in queue: 23, Servers: 10
Clock cycle: 291, Requests in queue: 22, Servers: 10
Clock cycle: 293, Requests in queue: 23, Servers: 10
Clock cycle: 294, Requests in queue: 23, Servers: 10
Clock cycle: 296, Requests in queue: 24, Servers: 10
Clock cycle: 297, Requests in queue: 24, Servers: 10
Clock cycle: 298, Requests in queue: 24, Servers: 10
Clock cycle: 299, Requests in queue: 24, Servers: 10
Clock cycle: 300, Requests in queue: 24, Servers: 10
Clock cycle: 301, Requests in queue: 24, Servers: 10
Clock cycle: 302, Requests in queue: 24, Servers: 10
Clock cycle: 304, Requests in queue: 25, Servers: 10
Clock cycle: 305, Requests in queue: 25, Servers: 10
Clock cycle: 306, Requests in queue: 25, Servers: 10
Clock cycle: 307, Requests in queue: 25, Servers: 10
Clock cycle: 308, Requests in queue: 25, Servers: 10
Clock cycle: 309, Requests in queue: 25, Servers: 10
Clock cycle: 310, Requests in queue: 25, Servers: 10
Clock cycle: 311, Requests in queue: 25, Servers: 10
Clock cycle: 312, Requests in queue: 25, Servers: 10
Clock cycle: 313, Requests in queue: 25, Servers: 10
Clock cycle: 315, Requests in queue: 26, Servers: 10
Clock cycle: 316, Requests in queue: 26, Servers: 10
Clock cycle: 317, Requests in queue: 26, Servers: 10
Clock cycle: 318, Requests in queue: 26, Servers: 10
Clock cycle: 320, Requests in queue: 27, Servers: 10
Clock cycle: 321, Requests in queue: 27, Servers: 10
Clock cycle: 322, Requests in queue: 27, Servers: 10
Clock cycle: 323, Requests in queue: 27, Servers: 10
Clock cycle: 324, Requests in queue: 27, Servers: 10
Clock cycle: 325, Requests in queue: 27, Servers: 10
Clock cycle: 327, Requests in queue: 28, Servers: 10
Clock cycle: 328, Requests in queue: 28, Servers: 10
Clock cycle: 329, Requests in queue: 28, Servers: 10
Clock cycle: 331, Requests in queue: 29, Servers: 10
Clock cycle: 332, Requests in queue: 29, Servers: 10
Clock cycle: 333, Requests in queue: 29, Servers: 10
Clock cycle: 334, Requests in queue: 29, Servers: 10
Clock cycle: 335, Requests in queue: 29, Servers: 10
Clock cycle: 336, Requests in queue: 29, Servers: 10
Clock cycle: 337, Requests in queue: 29, Servers: 10
Clock cycle: 338, Requests in queue: 29, Servers: 10
Clock cycle: 339, Requests in queue: 29, Servers: 10
Clock cycle: 340, Requests in queue: 29, Servers: 10
Clock cycle: 342, Requests in queue: 28, Servers: 10
Clock cycle: 343, Requests in queue: 28, Servers: 10
Clock cycle: 344, Requests in queue: 28, Servers: 10
Clock cycle: 345, Requests in queue: 28, Servers: 10
Clock cycle: 347, Requests in queue: 27, Servers: 10
Clock cycle: 348, Requests in queue: 27, Servers: 10
Clock cycle: 349, Requests in queue: 27, Servers: 10
Clock cycle: 350, Requests in queue: 27, Servers: 10
Clock cycle: 351, Requests in queue: 27, Servers: 10
Clock cycle: 353, Requests in queue: 28, Servers: 10
Clock cycle: 355, Requests in queue: 29, Servers: 10
Clock cycle: 356, Requests in queue: 29, Servers: 10
Clock cycle: 358, Requests in queue: 30, Servers: 10
Clock cycle: 359, Requests in queue: 30, Servers: 10
Clock cycle: 361, Requests in queue: 31, Servers: 10
Clock cycle: 362, Requests in queue: 31, Servers: 10
Clock cycle: 363, Requests in queue: 31, Servers: 10
Clock cycle: 364, Requests in queue: 31, Servers: 10
Clock cycle: 366, Requests in queue: 32, Servers: 10
Clock cycle: 367, Requests in queue: 32, Servers: 10
Clock cycle: 368, Requests in queue: 32, Servers: 10
Clock cycle: 370, Requests in queue: 33, Servers: 10
Clock cycle: 371, Requests in queue: 33, Servers: 10
Clock cycle: 372, Requests in queue: 33, Servers: 10
Clock cycle: 374, Requests in queue: 34, Servers: 10
Clock cycle: 375, Requests in queue: 34, Servers: 10
Clock cycle: 376, Requests in queue: 34, Servers: 10
Clock cycle: 377, Requests in queue: 34, Servers: 10
Clock cycle: 378, Requests in queue: 34, Servers: 10
Clock cycle: 379, Requests in queue: 34, Servers: 10
Clock cycle: 380, Requests in queue: 34, Servers: 10
Clock cycle: 381, Requests in queue: 34, Servers: 10
Clock cycle: 382, Requests in queue: 34, Servers: 10
Clock cycle: 383, Requests in queue: 34, Servers: 10
Clock cycle: 385, Requests in queue: 35, Servers: 10
Clock cycle: 386, Requests in queue: 35, Servers: 10
Clock cycle: 387, Requests in queue: 35, Servers: 10
Clock cycle: 388, Requests in queue: 35, Servers: 10
Clock cycle: 390, Requests in queue: 34, Servers: 10
Clock cycle: 391, Requests in queue: 34, Servers: 10
Clock cycle: 392, Requests in queue: 34, Servers: 10
Clock cycle: 393, Requests in queue: 34, Servers: 10
Clock cycle: 394, Requests in queue: 34, Servers: 10
Clock cycle: 396, Requests in queue: 33, Servers: 10
Clock cycle: 397, Requests in queue: 33, Servers: 10
Clock cycle: 398, Requests in queue: 33, Servers: 10
Clock cycle: 399, Requests in queue: 33, Servers: 10
Clock cycle: 400, Requests in queue: 33, Servers: 10
Clock cycle: 401, Requests in queue: 33, Servers: 10
Clock cycle: 403, Requests in queue: 34, Servers: 10
Clock cycle: 404, Requests in queue: 34, Servers: 10
Clock cycle: 405, Requests in queue: 34, Servers: 10
Clock cycle: 406, Requests in queue: 34, Servers: 10
Clock cycle: 408, Requests in queue: 35, Servers: 10
Clock cycle: 409, Requests in queue: 35, Servers: 10
Clock cycle: 410, Requests in queue: 35, Servers: 10
Clock cycle: 411, Requests in queue: 35, Servers: 10
Clock cycle: 412, Requests in queue: 35, Servers: 10
Clock cycle: 413, Requests in queue: 35, Servers: 10
Clock cycle: 414, Requests in queue: 35, Servers: 10
Clock cycle: 415, Requests in queue: 35, Servers: 10
Clock cycle: 416, Requests in queue: 35, Servers: 10
Clock cycle: 417, Requests in queue: 35, Servers: 10
Clock cycle: 418, Requests in queue: 35, Servers: 10
Clock cycle: 419, Requests in queue: 35, Servers: 10
Clock cycle: 420, Requests in queue: 35, Servers: 10
Clock cycle: 421, Requests in queue: 35, Servers: 10
Clock cycle: 422, Requests in queue: 35, Servers: 10
Clock cycle: 423, Requests in queue: 35, Servers: 10
Clock cycle: 424, Requests in queue: 35, Servers: 10
Clock cycle: 426, Requests in queue: 36, Servers: 10
Clock cycle: 427, Requests in queue: 36, Servers: 10
Clock cycle: 428, Requests in queue: 36, Servers: 10
Clock cycle: 429, Requests in queue: 36, Servers: 10
Clock cycle: 430, Requests in queue: 36, Servers: 10
Clock cycle: 431, Requests in queue: 36, Servers: 10
Clock cycle: 432, Requests in queue: 36, Servers: 10
Clock cycle: 433, Requests in queue: 36, Servers: 10
Clock cycle: 434, Requests in queue: 36, Servers: 10
Clock cycle: 436, Requests in queue: 37, Servers: 10
Clock cycle: 437, Requests in queue: 37, Servers: 10
Clock cycle: 438, Requests in queue: 37, Servers: 10
Clock cycle: 439, Requests in queue: 37, Servers: 10
Clock cycle: 440, Requests in queue: 37, Servers: 10
Clock cycle: 441, Requests in queue: 37, Servers: 10
Clock cycle: 442, Requests in queue: 37, Servers: 10
Clock cycle: 443, Requests in queue: 37, Servers: 10
Clock cycle: 444, Requests in queue: 37, Servers: 10
Clock cycle: 446, Requests in queue: 38, Servers: 10
Clock cycle: 447, Requests in queue: 38, Servers: 10
Clock cycle: 448, Requests in queue: 38, Servers: 10
Clock cycle: 449, Requests in queue: 38, Servers: 10
Clock cycle: 451, Requests in queue: 39, Servers: 10
Clock cycle: 453, Requests in queue: 40, Servers: 10
Clock cycle: 455, Requests in queue: 39, Servers: 10
Clock cycle: 456, Requests in queue: 39, Servers: 10
Clock cycle: 457, Requests in queue: 39, Servers: 10
Clock cycle: 458, Requests in queue: 39, Servers: 10
Clock cycle: 459, Requests in queue: 39, Servers: 10
Clock cycle: 460, Requests in queue: 39, Servers: 10
Clock cycle: 461, Requests in queue: 39, Servers: 10
Clock cycle: 462, Requests in queue: 39, Servers: 10
Clock cycle: 463, Requests in queue: 39, Servers: 10
Clock cycle: 464, Requests in queue: 39, Servers: 10
Clock cycle: 465, Requests in queue: 39, Servers: 10
Clock cycle: 466, Requests in queue: 39, Servers: 10
Clock cycle: 468, Requests in queue: 38, Servers: 10
Clock cycle: 469, Requests in queue: 38, Servers: 10
Clock cycle: 470, Requests in queue: 38, Servers: 10
Clock cycle: 471, Requests in queue: 38, Servers: 10
Clock cycle: 472, Requests in queue: 38, Servers: 10
Clock cycle: 473, Requests in queue: 38, Servers: 10
Clock cycle: 474, Requests in queue: 38, Servers: 10
Clock cycle: 475, Requests in queue: 38, Servers: 10
Clock cycle: 476, Requests in queue: 38, Servers: 10
Clock cycle: 477, Requests in queue: 38, Servers: 10
Clock cycle: 478, Requests in queue: 38, Servers: 10
Clock cycle: 479, Requests in queue: 38, Servers: 10
Clock cycle: 480, Requests in queue: 38, Servers: 10
Clock cycle: 481, Requests in queue: 38, Servers: 10
Clock cycle: 482, Requests in queue: 38, Servers: 10
Clock cycle: 483, Requests in queue: 38, Servers: 10
Clock cycle: 485, Requests in queue: 37, Servers: 10
Clock cycle: 486, Requests in queue: 37, Servers: 10
Clock cycle: 487, Requests in queue: 37, Servers: 10
Clock cycle: 489, Requests in queue: 36, Servers: 10
Clock cycle: 490, Requests in queue: 36, Servers: 10
Clock cycle: 491, Requests in queue: 36, Servers: 10
Clock cycle: 493, Requests in queue: 35, Servers: 10
Clock cycle: 494, Requests in queue: 35, Servers: 10
Clock cycle: 495, Requests in queue: 35, Servers: 10
Clock cycle: 496, Requests in queue: 35, Servers: 10
Clock cycle: 497, Requests in queue: 35, Servers: 10
Clock cycle: 498, Requests in queue: 35, Servers: 10
Clock cycle: 499, Requests in queue: 35, Servers: 10
Clock cycle: 501, Requests in queue: 36, Servers: 10
Clock cycle: 502, Requests in queue: 36, Servers: 10
Clock cycle: 503, Requests in queue: 36, Servers: 10
Clock cycle: 504, Requests in queue: 36, Servers: 10
Clock cycle: 505, Requests in queue: 36, Servers: 10
Clock cycle: 507, Requests in queue: 37, Servers: 10
Clock cycle: 509, Requests in queue: 38, Servers: 10
Clock cycle: 510, Requests in queue: 38, Servers: 10
Clock cycle: 511, Requests in queue: 38, Servers: 10
Clock cycle: 512, Requests in queue: 38, Servers: 10
Clock cycle: 513, Requests in queue: 38, Servers: 10
Clock cycle: 514, Requests in queue: 38, Servers: 10
Clock cycle: 515, Requests in queue: 38, Servers: 10
Clock cycle: 516, Requests in queue: 38, Servers: 10
Clock cycle: 518, Requests in queue: 39, Servers: 10
Clock cycle: 519, Requests in queue: 39, Servers: 10
Clock cycle: 520, Requests in queue: 39, Servers: 10
Clock cycle: 521, Requests in queue: 39, Servers: 10
Clock cycle: 522, Requests in queue: 39, Servers: 10
Clock cycle: 523, Requests in queue: 39, Servers: 10
Clock cycle: 524, Requests in queue: 39, Servers: 10
Clock cycle: 525, Requests in queue: 39, Servers: 10
Clock cycle: 526, Requests in queue: 39, Servers: 10
Clock cycle: 527, Requests in queue: 39, Servers: 10
Clock cycle: 528, Requests in queue: 39, Servers: 10
Clock cycle: 529, Requests in queue: 39, Servers: 10
Clock cycle: 530, Requests in queue: 39, Servers: 10
Clock cycle: 531, Requests in queue: 39, Servers: 10
Clock cycle: 533, Requests in queue: 40, Servers: 10
Clock cycle: 534, Requests in queue: 40, Servers: 10
Clock cycle: 535, Requests in queue: 40, Servers: 10
Clock cycle: 536, Requests in queue: 40, Servers: 10
Clock cycle: 537, Requests in queue: 40, Servers: 10
Clock cycle: 538, Requests in queue: 40, Servers: 10
Clock cycle: 539, Requests in queue: 40, Servers: 10
Clock cycle: 540, Requests in queue: 40, Servers: 10
Clock cycle: 541, Requests in queue: 40, Servers: 10
Clock cycle: 543, Requests in queue: 41, Servers: 10
Clock cycle: 545, Requests in queue: 42, Servers: 10
Clock cycle: 547, Requests in queue: 43, Servers: 10
Clock cycle: 549, Requests in queue: 44, Servers: 10
Clock cycle: 550, Requests in queue: 44, Servers: 10
Clock cycle: 551, Requests in queue: 44, Servers: 10
Clock cycle: 552, Requests in queue: 44, Servers: 10
Clock cycle: 553, Requests in queue: 44, Servers: 10
Clock cycle: 555, Requests in queue: 45, Servers: 10
Clock cycle: 557, Requests in queue: 44, Servers: 10
Clock cycle: 558, Requests in queue: 44, Servers: 10
Clock cycle: 559, Requests in queue: 44, Servers: 10
Clock cycle: 560, Requests in queue: 44, Servers: 10
Clock cycle: 561, Requests in queue: 44, Servers: 10
Clock cycle: 563, Requests in queue: 45, Servers: 10
Clock cycle: 566, Requests in queue: 45, Servers: 10
Clock cycle: 567, Requests in queue: 45, Servers: 10
Clock cycle: 568, Requests in queue: 45, Servers: 10
Clock cycle: 569, Requests in queue: 45, Servers: 10
Clock cycle: 570, Requests in queue: 45, Servers: 10
Clock cycle: 572, Requests in queue: 46, Servers: 10
Clock cycle: 573, Requests in queue: 46, Servers: 10
Clock cycle: 574, Requests in queue: 46, Servers: 10
Clock cycle: 575, Requests in queue: 46, Servers: 10
Clock cycle: 576, Requests in queue: 46, Servers: 10
Clock cycle: 577, Requests in queue: 46, Servers: 10
Clock cycle: 578, Requests in queue: 46, Servers: 10
Clock cycle: 579, Requests in queue: 46, Servers: 10
Clock cycle: 580, Requests in queue: 46, Servers: 10
Clock cycle: 581, Requests in queue: 46, Servers: 10
Clock cycle: 584, Requests in queue: 46, Servers: 10
Clock cycle: 585, Requests in queue: 46, Servers: 10
Clock cycle: 586, Requests in queue: 46, Servers: 10
Clock cycle: 587, Requests in queue: 46, Servers: 10
Clock cycle: 588, Requests in queue: 46, Servers: 10
Clock cycle: 589, Requests in queue: 46, Servers: 10
Clock cycle: 590, Requests in queue: 46, Servers: 10
Clock cycle: 592, Requests in queue: 45, Servers: 10
Clock cycle: 593, Requests in queue: 45, Servers: 10
Clock cycle: 594, Requests in queue: 45, Servers: 10
Clock cycle: 595, Requests in queue: 45, Servers: 10
Clock cycle: 596, Requests in queue: 45, Servers: 10
Clock cycle: 597, Requests in queue: 45, Servers: 10
Clock cycle: 598, Requests in queue: 45, Servers: 10
Clock cycle: 599, Requests in queue: 45, Servers: 10
Clock cycle: 600, Requests in queue: 45, Servers: 10
Clock cycle: 601, Requests in queue: 45, Servers: 10
Clock cycle: 603, Requests in queue: 46, Servers: 10
Clock cycle: 604, Requests in queue: 46, Servers: 10
Clock cycle: 605, Requests in queue: 46, Servers: 10
Clock cycle: 607, Requests in queue: 47, Servers: 10
Clock cycle: 608, Requests in queue: 47, Servers: 10
Clock cycle: 609, Requests in queue: 47, Servers: 10
Clock cycle: 610, Requests in queue: 47, Servers: 10
Clock cycle: 611, Requests in queue: 47, Servers: 10
Clock cycle: 612, Requests in queue: 47, Servers: 10
Clock cycle: 613, Requests in queue: 47, Servers: 10
Clock cycle: 614, Requests in queue: 47, Servers: 10
Clock cycle: 615, Requests in queue: 47, Servers: 10
Clock cycle: 616, Requests in queue: 47, Servers: 10
Clock cycle: 618, Requests in queue: 48, Servers: 10
